Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,class
KETAN,PoS,PoS,9327131.59708692,210000000,-0.3587014925852337,1.938858955114899,-0.14629163797089617,Ketan,0
PPAI,SHA-256,PoW,2100000000.0,2100000000,-0.10305206636205184,-1.255587645232046,0.1752418159654595,Project Pai,2
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000,-0.3407256225630758,0.8193886314421395,-0.5111778470735737,XDNA,0
PAXEX,X11,PoS,4504639.0,100000000,-0.3530400051754485,1.0837291612052966,-0.2061184994148827,PAXEX,0
AZART,X11,PoW,5015881.37315389,25000000,-0.2309450741886803,-0.9499145048706071,0.08664068112605401,Azart,2
TSC,Scrypt,PoW/PoS,1059954080.4343901,18000000000,-0.19413200453180085,0.9060044650177963,-0.5872416673338344,ThunderStake,0
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000,-0.31200802681185175,2.391662007604163,0.09321729822159036,Kcash,0
XCG,X16R,PoW,9753753.61515394,100000000,-0.19790329870136475,-1.2382521615005952,0.16315379953807346,Xchange,2
AAC,ECC 256K1,DPOS,1000000000.0,1000000000,-0.3572205596984125,3.3185072133991835,9.39174594437456,Acute Angle Cloud,3
CRYP,Equihash,PoW,4235111504.0,7600000000,-0.046456172943384014,-2.0508927520738904,0.3195466800121899,CrypticCoin,2
BTXC,XEVAN,PoS,6787405.18013774,50000000,-0.2775031840018612,1.3526915170390226,-0.21483886364346316,Bettex coin,0
ACM,Lyra2Z,PoW,13634850.0,84000000,-0.16088018406505553,-2.155855498737155,0.45893348149883306,Actinium,2
BSV,SHA-256,PoW,17992514.6469233,21000000,-0.14322790529944246,-1.2563014077368184,0.17635142032083145,Bitcoin SV,2
BITM,XEVAN,Pos,208515864.36734298,70000000000,0.5084731157673201,1.1024131658477745,-0.3279029067421704,BitMoney,0
JMC,X11,PoS,17209923728.3266,0,-0.14358434182511678,1.0947662949052144,-0.21298969597656292,Junson Ming Chan Coin,0
FRED,CryptoNight,PoW,1867054873.2839699,8080000000,0.3872036509075614,-2.2055525755927294,0.418620477476364,FREDEnergy,2
HERB,Quark,PoW/PoS,35312185.7437239,54000000,-0.3966850458579822,1.6891049240407505,-0.5418277625481546,HerbCoin,0
UMO,Blake,PoW,1578281.31341127,105120001.44,-0.14170714495507758,-2.0969671358321564,0.46906749024449873,Universal Molecule,2
LIT,Blake,PoW,15846721.248274697,25228800,-0.14209943497264876,-2.0969342502610453,0.4690724069455623,Lithium,2
PIRATE,Equihash,PoS,13475920.0,105000000,-0.2737979012674583,-0.017698525348153707,0.02948337612495887,PirateCash,0
EXO,Exosis,PoW,406091.925,21000000,-0.16368815552257932,-2.136371034462762,0.482002901752906,Exosis,2
BLTG,Scrypt,PoW,35284717.173946,120000000,-0.1661875918295187,-1.1602146370786186,0.005458043427410996,Block-Logic,2
OWC,Scrypt,PoW/PoS,14777549.394076401,21000000,-0.33440395367010367,0.91068219194872,-0.5844321403870987,Oduwa,0
BEAM,Equihash,PoW,35687520.0,262800000,-0.1497869077517898,-2.0513975357730225,0.32220290978859106,Beam,2
GALI,Quark,PoW/PoS,18265011.248600602,19035999,-0.39714123857128153,1.6891044150839611,-0.5418162909484392,Galilel,0
BTH,Equihash,PoW,25150787.5,30886000,-0.15156032275883335,-2.0513353128143765,0.3222379718610342,Bithereum,2
CSPN,Quark,PoS,1934701.67524713,13370000,-0.3527377054441913,1.6518814389900105,-0.24464685560713675,Crypto Sports,0
CREDIT,Scrypt,PoW/PoS,30825710000.0296,74800000000,0.5722771551466023,0.9081569607463694,-0.6067067404707883,Credit,0
SLC,QuBit,PoW,12925790.4226959,100000000,-0.18355269968743915,-1.4994559123863564,0.2570213753441833,SLICE,2
DASHP,X11,PoS,715659.44237941,19700000,-0.3536557664169501,1.0837506158648478,-0.20610630292848006,Dash Platinum,0
NSD,Scrypt,PoW/PoS,20546528.2059957,84000000,-0.33388669634697093,0.9106671484993675,-0.5844428281375341,Nasdacoin,0
BEET,XEVAN,PoW/PoS,198938144.363399,500000000,-0.3166078963061455,1.3898948455605311,-0.5121377500486666,Beetle Coin,0
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000,-0.2878743965052168,1.8654884682615804,-0.78144970056008,Titan Coin,0
AWR,X11,PoW/PoS,15420234.5389336,420000000,-0.3952804573013554,1.1208552000575838,-0.503327576444688,Award,0
BLAST,SHA-256,PoW,52293836.62779579,64000000,-0.1425039620992646,-1.2562922498634612,0.17633197588993835,BLAST,2
XRC,X13,PoW,1170292.5,2100000,-0.10642426201629988,-0.30268794823800993,-0.10343938731671307,Bitcoin Rhodium,2
GLT,SHA-256,PoW,84613099.9999955,168000000,-0.14137162457313496,-1.2563024995317642,0.176305211185023,GlobalToken,2
INSN,X11,PoW/PoS,23775960.3207514,30000000,-0.3979442286206916,1.1209765195536454,-0.5032790475274347,Insane Coin,0
ALX,DPoS,DPoS,1000000000.0,1000000000,3.7385404067361154,1.4170665311784503,-0.02216389514122215,ALAX,0
LDOGE,Scrypt,PoW/PoS,15318887081.0146,35000000000,0.10060352567558206,0.910071539397123,-0.5952082730721557,LiteDoge,0
SLR,Scrypt,PoW,55565076.3863525,98100000000,0.5289234477425032,-1.1893378516462116,-0.007581999062930402,SolarCoin,2
TRK,X11,PoW/PoS,242574105.22384,0,-0.3954843575908849,1.1211254196534666,-0.5033626062296298,TruckCoin,0
UFO,NeoScrypt,PoW,3824685012.0,4000000000,-0.09992375286188165,-1.5791759579927793,0.2902426106558688,UFO Coin,2
OC,Scrypt,PoW/PoS,3537150.0,200000000,-0.33327180739285955,0.9106217717484135,-0.5844514507789386,OrangeCoin,0
BLC,Blake,PoW,23356790.1494191,7000000000,-0.09254339390821256,-2.0990035245214127,0.4681417155028248,BlakeCoin,2
BITS,Scrypt,PoW/PoS,20576532.0,54256119,-0.33409727016106455,0.9106760125951274,-0.5844388840285626,BitstarCoin,0
NEOS,SHA-256,PoS,4392258.24647793,21000000,-0.2660146107911622,0.7773561871229578,-0.11639254739252258,NeosCoin,0
HYPER,Scrypt,PoW/PoS,9631199.99309942,0,-0.3346157462003109,0.9106851442464576,-0.5844272880246093,HyperCoin,0
PINK,X11,PoW/PoS,436353624.49031204,500000000,-0.38957138869797237,1.1211007083206554,-0.5035066472726664,PinkCoin,0
CESC,Scrypt,PoW,780210700.0,1000000000,-0.15084742986664676,-1.1599997452162836,0.005042926897623776,Crypto Escudo,2
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000,-0.24828886860854094,0.9081840475254739,-0.5862124230084313,AudioCoin,0
NKA,SHA-256,PoW/PoS,17939725045.334,190000000,-0.09037849660113055,0.8259945141267817,-0.4207537342677045,IncaKoin,0
PIGGY,X11,PoW/PoS,494240666.028571,1000000000,-0.3853183516183776,1.1209890579589121,-0.5035963129254661,Piggy Coin,0
CRW,SHA-256,PoW,22986929.0854247,42000000,-0.1430179686606131,-1.2563044572369788,0.1763466287528978,Crown Coin,2
GEN,Scrypt,PoW/PoS,60000000.0,15000000,-0.3338941110420363,0.9107129078283709,-0.5844494374542465,Genstake,0
